Gene,ModuleColor,kWithin,ModuleName,Alpha,Beta,Delta,Gamma,High.Gamma,Theta,SME_CerCort,SME15,SME20,RBP,TF,ASD,ASD_Scored,ASD.DGE_down,ASD.DGE_up,BD.DGE_down,BD.DGE_up,SCZ.DGE_down,SCZ.DGE_up,geneM0,geneM1,geneM10,geneM11,geneM12,geneM13,geneM14,geneM15,geneM16,geneM17,geneM18,geneM19,geneM2,geneM20,geneM21,geneM22,geneM23,geneM24,geneM25,geneM26,geneM27,geneM28,geneM29,geneM3,geneM30,geneM31,geneM32,geneM33,geneM34,geneM4,geneM5,geneM6,geneM7,geneM8,geneM9,Exc_L2-3_LINC00507_FREM3,Exc_L3-5_RORB_TWIST2,Exc_L3-5_RORB_ESR1,Exc_L4-6_RORB_SEMA3E,Exc_L4-6_FEZF2_IL26,Exc_L5-6_THEMIS_CRABP1,Exc_L5-6_THEMIS_C1QL3,Exc_L5-6_FEZF2_ABO,Inh_L1-2_LAMP5_DBP,Inh_L1-2_SST_BAGE2,Inh_L1-3_SST_CALB1,Inh_L2-4_VIP_SPAG17,Inh_L2-4_VIP_CBLN1,Inh_L2-5_PVALB_SCUBE3,Inh_L2-6_LAMP5_CA1,Inh_L4-6_PVALB_SULF1,Inh_L5-6_SST_KLHDC8A,Astro_L1-6_FGFR3_SLC14A1,Oligo_L1-6_OPALIN_NA,OPC_L1-6_PDGFRA_NA
ABCB7,black,17.55782929,WM1,,,,,,,,,,,,,,,,,,,SCZ.DGE_up,geneM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC004076.9,black,14.55608109,WM1,,,,,,,,,,,,,,,,,,,,geneM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADGRF3,black,6.041193038,WM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG14,black,10.5147617,WM1,,,,,,,,,,,,,,,,,,SCZ.DGE_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geneM4,,,,,,,,,,,,,,,,,,,,,,,,,
ALG5,black,23.24396312,WM1,,,,,,,,,,,,,,,,,,SCZ.DGE_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geneM4,,,,,,,,,,,,,,,,,,,,,,,,,
ALKBH1,black,7.018193974,WM1,,,,,,,,,,,,,,,,,,,,geneM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMY2B,black,13.11024278,WM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geneM8,,,,,,,,,,,,,,,,,,,,,
ANAPC10,black,22.04679963,WM1,,,,,,,,SME15,,,,,,,,,,,,geneM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inh_L2-6_LAMP5_CA1,,,,,
ANKAR,black,14.55198415,WM1,,,,,,,,,,,,,,,,,,,,geneM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
